,Subject,CardSort_Unadj,Flanker_Unadj,IWRD_TOT,ProcSpeed_Unadj,ListSort_Unadj,PicVocab_Unadj,ReadEng_Unadj,LifeSatisf_Unadj,MeanPurp_Unadj,PosAffect_Unadj,AngAffect_Unadj,AngHostil_Unadj,FearAffect_Unadj,PercStress_Unadj,Sadness_Unadj
117,135225,125.17,120.56,40,120.27,108.06,111.67,113.71,57.1,60.5,52.4,56.9,50.6,58.0,49.6,49.4
118,135528,122.5,129.71,36,107.54,126.18,105.88,93.15,65.8,57.6,50.2,44.2,45.0,54.9,51.5,46.1
119,135629,118.62,104.89,38,113.4,112.89,113.0438,117.0778,45.9,37.9,52.7,54.7,57.4,53.9,52.6,52.7
120,135730,119.59,122.27,39,131.64,100.43,113.4293,108.1692,35.6,43.2,48.4,44.9,56.7,58.0,63.1,49.8
121,135932,143.94,115.87,36,126.47,100.43,113.88,116.59,71.9,58.0,52.7,47.5,57.4,49.0,43.7,46.1
122,136126,116.08,114.06,33,94.92,117.39,119.3642,110.9044,62.5,46.5,46.2,50.9,54.7,49.2,40.4,43.0
123,136227,108.57,109.29,39,94.92,96.99,116.334,115.9069,46.5,46.8,46.2,51.0,49.3,53.7,50.4,48.2
124,136631,116.08,89.22,34,94.92,112.89,100.952,107.58,64.5,57.8,50.2,47.5,58.9,42.9,43.6,42.5
125,137027,123.4,108.08,38,110.8,117.39,113.1,107.64,41.3,51.9,50.2,37.0,47.1,32.9,39.5,34.2
126,137128,114.68,102.77,32,114.85,130.38,116.39,121.01,55.0,46.1,50.2,46.8,36.6,44.3,41.4,46.1
127,137229,118.74,114.61,39,107.8,112.89,126.4815,121.9883,48.5,59.6,71.6,41.5,59.6,47.2,45.4,48.2
128,137532,98.18,112.31,35,94.92,108.06,109.9835,97.7005,57.1,51.9,50.2,59.0,51.7,52.9,49.4,49.9
129,137633,107.52,104.82,38,112.27,112.89,109.5157,116.7144,62.9,71.6,64.5,46.5,40.5,49.0,53.1,42.5
130,138130,110.65,107.53,40,118.67,100.43,126.1153,127.2036,43.1,42.9,45.0,49.5,57.3,52.1,57.9,43.3
131,138231,110.53,108.98,38,110.3,100.43,105.69,107.91,55.0,48.1,42.7,52.0,51.1,51.4,51.3,44.7
132,138332,130.78,108.82,32,106.57,112.89,115.2631,121.1449,59.9,49.4,48.4,44.3,53.0,52.9,53.0,42.9
133,138534,111.03,118.66,37,103.19,130.38,108.7,106.22,52.6,53.8,55.1,36.2,41.4,32.9,39.6,34.2
134,138837,99.42,97.68,31,100.29,104.06,99.81483,100.7036,43.1,38.7,42.0,54.1,52.7,60.5,54.6,53.3
135,139233,122.78,115.92,39,113.01,108.06,117.46,114.3,62.8,65.7,63.8,42.7,40.5,47.3,40.4,34.2
136,139435,102.95,95.12,33,115.83,104.06,118.6395,115.1037,74.6,55.9,52.7,47.5,50.3,51.2,45.4,45.5
137,139637,126.05,108.46,37,116.01,104.06,117.41,110.89,55.0,54.0,46.2,44.3,57.7,51.2,47.5,42.6
138,139839,115.77,126.74,36,145.54,108.06,128.1123,126.3766,55.0,50.0,54.2,50.1,48.0,49.6,48.1,50.9
139,140117,101.18,101.82,30,104.24,108.06,100.53,114.73,48.3,44.5,55.7,52.8,58.1,49.2,59.5,62.2
140,141422,123.13,111.89,37,115.83,133.93,124.5884,122.7735,62.8,50.0,48.4,46.0,59.0,46.2,51.2,43.8
141,142828,121.95,115.04,39,121.63,117.39,116.32,126.83,57.1,53.6,54.7,54.6,42.4,46.0,51.9,45.8
142,143224,112.65,114.61,40,151.81,96.99,125.5795,118.9618,67.8,57.8,61.2,54.8,53.6,54.4,48.8,47.9
143,143325,104.84,95.53,36,103.96,112.89,118.89,119.25,37.9,42.7,48.4,44.3,67.0,56.0,57.2,49.4
144,144933,103.17,99.77,39,126.95,104.06,117.5291,119.0812,55.6,51.1,58.8,50.9,70.9,58.3,56.3,51.2
145,145127,118.18,119.02,29,104.06,100.43,122.1825,115.0681,60.1,51.3,48.4,51.0,54.0,54.4,44.6,49.9
146,145632,127.37,121.97,33,119.98,126.18,127.8803,121.5229,36.4,31.4,37.0,69.1,65.8,59.8,65.6,65.7
147,145834,104.92,111.15,33,93.81,126.18,125.42,121.3,55.0,50.0,42.0,46.0,36.6,60.7,52.7,48.1
148,146129,134.24,121.83,36,152.77,117.39,114.1005,118.1983,51.6,57.9,60.2,46.5,40.5,51.2,44.1,49.9
149,146432,113.22,115.08,29,118.67,100.43,119.4713,120.7051,57.1,52.2,44.4,48.5,36.6,32.9,41.2,34.2
150,146533,111.28,94.48,37,112.27,117.39,117.913,125.5651,54.4,50.0,55.1,37.9,51.4,49.3,52.3,34.2
151,146836,121.88,113.5,32,102.91,100.43,112.0827,110.6315,51.2,42.4,44.4,47.8,59.5,56.0,50.2,55.0
152,146937,113.81,100.27,38,112.27,108.06,126.4283,115.7193,53.1,48.1,50.2,48.7,48.9,43.7,47.8,46.1
153,147737,115.42,109.98,37,114.52,112.89,130.6681,107.9434,47.0,46.0,40.3,48.5,65.1,56.5,64.0,60.5
154,148032,108.89,131.56,32,110.59,126.18,122.88,125.26,60.1,65.0,57.2,37.4,36.6,46.0,29.2,39.6
155,148133,128.57,112.21,34,111.11,112.89,123.2349,135.7199,47.8,50.0,55.0,55.0,63.6,55.8,56.0,55.0
156,148436,102.55,98.59,37,91.62,108.06,110.3152,108.0736,57.1,56.1,50.2,43.3,54.9,42.9,43.6,42.3
157,148840,136.1,126.74,37,113.2,108.06,113.87,113.27,52.6,46.8,50.2,49.0,64.9,56.0,53.8,51.3
158,148941,111.36,116.43,34,117.2,96.99,114.9241,119.141,64.5,68.1,59.7,49.0,49.0,52.1,43.7,38.9
159,149236,136.1,128.76,39,154.69,117.39,137.4778,134.9019,52.7,40.8,40.2,49.9,54.3,57.7,52.1,54.3
160,149539,116.55,137.11,37,129.73,117.39,125.62,135.81,64.5,51.7,46.2,48.1,55.0,55.8,49.1,43.5
161,149741,120.61,112.75,26,108.54,100.43,101.57,111.94,62.6,56.5,52.1,37.2,47.1,41.1,43.9,38.9
162,149842,138.87,116.57,37,107.8,108.06,110.8928,124.6814,65.8,52.2,56.0,44.2,55.5,50.8,46.3,49.4
163,150928,118.41,113.32,34,118.67,117.39,122.6043,112.8431,51.1,49.9,50.2,55.0,49.7,57.7,59.3,51.2
164,151425,128.57,106.29,35,122.72,108.06,114.8708,124.5489,56.6,60.8,57.1,49.5,64.4,49.0,51.8,46.1
165,151627,119.76,121.64,40,117.38,121.89,119.43,124.0,70.1,61.3,67.8,40.2,51.2,39.4,39.0,34.2
166,151829,125.31,115.12,33,125.64,117.39,111.1107,121.5629,50.9,65.6,42.0,50.3,51.3,55.1,43.0,51.0
167,151930,124.56,114.8,37,122.72,117.39,129.4895,126.5796,47.8,44.5,46.5,59.0,49.7,53.7,52.0,48.2
168,152225,122.94,116.43,36,124.27,144.5,145.2734,133.721,67.8,56.1,48.4,48.4,36.6,46.0,35.8,43.0
169,152427,114.32,108.18,40,138.72,130.38,124.7792,125.7007,60.1,52.2,46.5,50.9,51.6,63.0,45.3,50.8
170,152831,115.84,106.89,35,93.82,104.06,132.3688,132.7345,44.4,39.7,33.2,57.1,61.8,59.8,59.4,62.2
171,153025,115.29,114.53,37,96.52,133.93,110.61,111.63,64.5,67.7,66.0,47.9,58.4,51.2,46.8,44.2
172,153227,108.33,105.63,35,121.22,100.43,116.651,99.92009,53.1,50.0,50.2,49.5,36.6,46.9,53.2,46.3
173,153429,117.54,125.34,38,125.02,121.89,130.71,121.26,60.1,48.2,48.4,54.4,36.6,65.6,46.9,56.6
