,surfarea_Network_1,surfarea_Network_2,surfarea_Network_3,surfarea_Network_4,surfarea_Network_5,surfarea_Network_6,surfarea_Network_7,surfarea_Network_8,surfarea_Network_9,surfarea_Network_10,surfarea_Network_11,surfarea_Network_12,surfarea_Network_13,surfarea_Network_14,surfarea_Network_15,surfarea_Network_16,surfarea_Network_17,Subject
35,5638.474609375,15483.90673828125,9218.42529296875,4597.0390625,12370.12451171875,10310.005859375,15600.65625,12871.52490234375,7579.365478515625,39366.82421875,2671.111083984375,11162.4716796875,10403.1025390625,10845.57470703125,9276.0244140625,12927.56201171875,16540.216796875,110411
36,6420.72216796875,15829.3505859375,8924.4208984375,4308.892578125,14650.23681640625,11120.71826171875,14401.291015625,14646.31884765625,6138.28515625,36797.001953125,2046.1639404296875,10757.70068359375,12861.986328125,9340.87255859375,8520.751220703125,15843.49609375,19217.91796875,110613
37,5018.45849609375,19665.580078125,9825.7578125,5699.376708984375,12289.8330078125,10378.5927734375,15101.63818359375,11552.41015625,6419.302734375,43738.3671875,2797.660400390625,11434.34033203125,12576.73828125,9294.78955078125,10314.86083984375,15071.71533203125,18050.576171875,111009
38,5871.9384765625,15126.95556640625,9226.8603515625,4989.03759765625,16432.9541015625,10382.126953125,13438.5390625,12569.1962890625,5187.861328125,38563.41796875,2009.1876220703125,7866.810546875,7824.4853515625,9148.20361328125,10572.92529296875,20298.19921875,13562.361328125,111312
39,5959.8681640625,16070.986328125,9544.8173828125,5217.2744140625,12978.66943359375,10172.4072265625,17539.5478515625,10597.4267578125,5995.465087890625,43120.228515625,2057.87060546875,10387.6181640625,10314.04248046875,8757.7724609375,9611.47216796875,16252.95703125,14228.87109375,111413
40,4062.269287109375,17640.15625,7978.901123046875,4554.72998046875,12245.85302734375,12394.009765625,15189.49560546875,12944.91845703125,6715.34033203125,40897.40625,2958.3134765625,12999.03857421875,10348.49853515625,9371.064453125,8351.115234375,15753.83447265625,17659.298828125,111514
41,5926.20703125,19300.341796875,9614.33837890625,4573.643798828125,12447.166015625,11600.521484375,15310.89599609375,11641.564453125,6093.83447265625,38116.71484375,2226.7803955078125,12374.7578125,9699.0732421875,9912.7041015625,7220.099365234375,16858.044921875,15792.958984375,111716
42,5985.60888671875,15513.06982421875,9209.14697265625,3897.5601806640625,14622.39892578125,10262.1826171875,17128.638671875,14847.0166015625,6686.15625,44962.9453125,3224.5687255859375,11162.97021484375,9902.73193359375,9301.04931640625,8508.7509765625,14584.6708984375,14427.3798828125,112112
43,4965.469482421875,19588.9814453125,9948.66357421875,4109.947021484375,14000.1435546875,10992.70947265625,17881.35546875,11633.72314453125,5550.936767578125,37256.322265625,2719.5828857421875,8742.06884765625,11630.2578125,9967.287109375,9281.4033203125,16289.283203125,20640.3876953125,112314
44,5711.863037109375,17496.115234375,8379.24462890625,5662.5419921875,10890.7275390625,10059.5078125,13971.5615234375,15908.40087890625,6798.232177734375,42256.65234375,2432.8944091796875,10673.67919921875,12060.01416015625,8757.443359375,8456.491455078125,14962.5009765625,17069.5458984375,112516
45,5917.8681640625,16998.0224609375,9841.107421875,5125.020263671875,16086.5185546875,10357.87060546875,13091.77197265625,12406.0009765625,6895.80078125,41298.712890625,2865.4964599609375,13099.02734375,12967.88330078125,13461.07861328125,8818.572265625,16004.74755859375,15895.68115234375,112920
46,6629.14990234375,14908.0029296875,8662.544921875,5468.7314453125,15586.923828125,13249.77197265625,14430.85498046875,13662.6142578125,7005.549560546875,37828.810546875,3000.4681396484375,11588.0400390625,11671.6396484375,10098.46923828125,9392.642578125,13384.63525390625,16222.537109375,113215
47,4963.169921875,15491.873046875,7923.533203125,3930.444580078125,13180.7509765625,10481.4228515625,16305.70458984375,14394.04248046875,6745.24658203125,42076.521484375,2003.971435546875,14052.826171875,10542.4619140625,9976.50439453125,9781.638671875,17720.9091796875,13940.71484375,113316
48,4129.7525634765625,14743.2412109375,8399.06298828125,5212.3701171875,14783.83349609375,12876.7353515625,16189.60107421875,10609.328125,8310.91015625,38046.390625,1947.908447265625,11182.16259765625,10542.0634765625,8309.040771484375,7785.337890625,15512.5751953125,18634.419921875,113619
49,6786.01123046875,15672.2529296875,9197.69677734375,5431.8671875,14542.732421875,13767.78271484375,16081.8212890625,14435.5634765625,6395.8720703125,49094.994140625,3009.7745361328125,9624.3818359375,8391.27978515625,12067.4482421875,11916.203125,13954.1904296875,14910.26416015625,113922
